Variable,Description
ACCELI2,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R2
ACCELI4,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R4
ACCELI6,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R6
ACCELI8,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R8
ACTDTY1,MILITARY FULL-TIME ACTIVE DUTY - R1
ACTDTY2,MILITARY FULL-TIME ACTIVE DUTY - R2
ACTDTY3,MILITARY FULL-TIME ACTIVE DUTY - R3
ACTDTY4,MILITARY FULL-TIME ACTIVE DUTY - R4
ACTDTY5,MILITARY FULL-TIME ACTIVE DUTY - R5
ACTDTY6,MILITARY FULL-TIME ACTIVE DUTY - R6
ACTDTY7,MILITARY FULL-TIME ACTIVE DUTY - R7
ACTDTY8,MILITARY FULL-TIME ACTIVE DUTY - R8
ACTDTY9,MILITARY FULL-TIME ACTIVE DUTY - R9
ACTLIM1,ANY LIMITATION WORK/HOUSEWRK/SCHL R1
ACTLIM3,ANY LIMITATION WORK/HOUSEWRK/SCHL R3
ACTLIM5,ANY LIMITATION WORK/HOUSEWRK/SCHL R5
ACTLIM7,ANY LIMITATION WORK/HOUSEWRK/SCHL R7
ADACLS2,SAQ 4WKS:ACCMP LESS B/C PHY PRBS VR-12 R2
ADACLS4,SAQ 4WKS:ACCMP LESS B/C PHY PRBS VR-12 R4
ADACLS6,SAQ 4WKS:ACCMP LESS B/C PHY PRBS VR-12 R6
ADACLS8,SAQ 4WKS:ACCMP LESS B/C PHY PRBS VR-12 R8
ADAGE4,SAQ: SURVEY AGE R4
ADAGE8,SAQ: SURVEY AGE R8
ADAPPT2,SAQ 12 MOS: # VISITS TO MED OFF FOR CARE R2
ADAPPT6,SAQ 12 MOS: # VISITS TO MED OFF FOR CARE R6
ADAPPTRT4,SAQ 12 MTHS: COUNSEL TRTMENT TELEPH APP R4
ADASKALC8,SAQ 12 MTHS: ALCOHOL CONSUMPTION R8
ADBLDS4,SAQ 12 MTHS: AT HOME BLOOD STOOL TEST R4
ADBLDS8,SAQ 12 MTHS: AT HOME BLOOD STOOL TEST R8
ADBMI4,ADULT BODY MASS INDEX (> 17) R4
ADBMI8,ADULT BODY MASS INDEX (> 17) R8
ADBNDN4,SAQ: BONE DENSITY SCAN R4
ADBNDN8,SAQ: BONE DENSITY SCAN R8
ADBPCK4,SAQ 24 MTHS: DR CHECK BLOOD PRESSURE R4
ADBPCK8,SAQ 24 MTHS: DR CHECK BLOOD PRESSURE R8
ADBRST4,SAQ: HAVE BRST CANCER\BRST REMOVED R4
ADBRST8,SAQ: HAVE BRST CANCER/BRST REMOVED R8
ADBRTC4,SAQ 12 MTHS: BIRTH CONTROL COUNSELING OR INFO R4
ADBRTC8,SAQ 12 MTHS: BIRTH CONTROL COUNSELING OR INFO R8
ADCHLC4,SAQ 5 YRS: DR CHECK CHOLESTEROL R4
ADCHLC8,SAQ 5 YRS: DR CHECK CHOLESTEROL R8
ADCLIM2,SAQ: HLTH LIMITS CLIMBING STAIRS VR-12 R2
ADCLIM4,SAQ: HLTH LIMITS CLIMBING STAIRS VR-12 R4
ADCLIM6,SAQ: HLTH LIMITS CLIMBING STAIRS VR-12 R6
ADCLIM8,SAQ: HLTH LIMITS CLIMBING STAIRS VR-12 R8
ADCLNS4,SAQ 10 YRS: HAD COLONOSCOPY R4
ADCLNS8,SAQ 10 YRS: HAD COLONOSCOPY R8
ADCMPM2,SAQ: DATE COMPLETED - MONTH R2
ADCMPM4,SAQ: DATE COMPLETED - MONTH R4
ADCMPM6,SAQ: DATE COMPLETED - MONTH R6
ADCMPM8,SAQ: DATE COMPLETED - MONTH R8
ADCMPY2,SAQ: DATE COMPLETED - YEAR R2
ADCMPY4,SAQ: DATE COMPLETED - YEAR R4
ADCMPY6,SAQ: DATE COMPLETED - YEAR R6
ADCMPY8,SAQ: DATE COMPLETED - YEAR R8
ADCOLN4,SAQ: HAD COLON CANCER/COLON REMOVED R4
ADCOLN8,SAQ: HAD COLON CANCER/COLON REMOVED R8
ADCOMPAN8,SAQ: FEEL LACK COMPANIONSHIP R8
ADDAYA2,SAQ: HLTH LIMITS MOD ACTIVITIES VR-12 R2
ADDAYA4,SAQ: HLTH LIMITS MOD ACTIVITIES VR-12 R4
ADDAYA6,SAQ: HLTH LIMITS MOD ACTIVITIES VR-12 R6
ADDAYA8,SAQ: HLTH LIMITS MOD ACTIVITIES VR-12 R8
ADDAYEXER8,SAQ: 30 DAYS AVG DAYS PER WK MOD EXRCS R8
ADDEBT8,SAQ: 12 MOS CONTACT COLLECTION R8
ADDPRS2,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS R2
ADDPRS4,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS R4
ADDPRS6,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS R6
ADDPRS8,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS R8
ADDSCU4,SAQ: DISCUSS ASPIRIN PREVENTIVE USE R4
ADDSCU8,SAQ: DISCUSS ASPIRIN PREVENTIVE USE R8
ADEFRT2,SAQ 30 DAYS: HOW OFTN EVERYTHNG AN EFFORT R2
ADEFRT4,SAQ 30 DAYS: HOW OFTN EVERYTHNG AN EFFORT R4
ADEFRT6,SAQ 30 DAYS: HOW OFTN EVERYTHNG AN EFFORT R6
ADEFRT8,SAQ 30 DAYS: HOW OFTN EVERYTHNG AN EFFORT R8
ADEMLS2,SAQ 4WKS: ACCMP LESS B/C MNT PRBS VR-12 R2
ADEMLS4,SAQ 4WKS: ACCMP LESS B/C MNT PRBS VR-12 R4
ADEMLS6,SAQ 4WKS: ACCMP LESS B/C MNT PRBS VR-12 R6
ADEMLS8,SAQ 4WKS: ACCMP LESS B/C MNT PRBS VR-12 R8
ADENGY2,SAQ 4WKS: HAD A LOT OF ENERGY VR-12 R2
ADENGY4,SAQ 4WKS: HAD A LOT OF ENERGY VR-12 R4
ADENGY6,SAQ 4WKS: HAD A LOT OF ENERGY VR-12 R6
ADENGY8,SAQ 4WKS: HAD A LOT OF ENERGY VR-12 R8
ADEXPL2,SAQ 12 MOS: DOC EXPLAINED SO UNDERSTOOD R2
ADEXPL6,SAQ 12 MOS: DOC EXPLAINED SO UNDERSTOOD R6
ADEZUN2,SAQ 12 MOS: DR GIVEN INSTR. EZ UNDRSTD R2
ADEZUN6,SAQ 12 MOS: DR GIVEN INSTR. EZ UNDRSTD R6
ADFFRM2,SAQ 12 MOS: HAD TO FILL OUT/SIGN FORMS R2
ADFFRM6,SAQ 12 MOS: HAD TO FILL OUT/SIGN FORMS R6
ADFHLP2,SAQ 12 MOS: OFFRD HELP FILLING OUT FORMS R2
ADFHLP6,SAQ 12 MOS: OFFRD HELP FILLING OUT FORMS R6
ADFLST4,SAQ 12 MTHS: FLU VACCINATION R4
ADFLST8,SAQ 12 MTHS: FLU VACCINATION R8
ADGENH2,SAQ: HEALTH IN GENERAL VR-12 R2
ADGENH4,SAQ: HEALTH IN GENERAL VR-12 R4
ADGENH6,SAQ: HEALTH IN GENERAL VR-12 R6
ADGENH8,SAQ: HEALTH IN GENERAL VR-12 R8
ADGRPTRT4,SAQ 12 MTHS: COUNSEL TRTMENT IN PERSON GROUP R4
ADHDADY1,ADHD/ADD DIAGNOSIS (5-17) 19
ADHDADY2,ADHD/ADD DIAGNOSIS (5-17) 20
ADHDADY3,ADHD/ADD DIAGNOSIS (5-17) 21
ADHDADY4,ADHD/ADD DIAGNOSIS (5-17) 22
ADHDAGY1,AGE OF DIAGNOSIS-ADHD/ADD 19
ADHDAGY2,AGE OF DIAGNOSIS-ADHD/ADD 20
ADHDAGY3,AGE OF DIAGNOSIS-ADHD/ADD 21
ADHDAGY4,AGE OF DIAGNOSIS-ADHD/ADD 22
ADHECR2,SAQ 12 MOS: RATING OF HEALTH CARE R2
ADHECR6,SAQ 12 MOS: RATING OF HEALTH CARE R6
ADHOPE2,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS R2
ADHOPE4,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS R4
ADHOPE6,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS R6
ADHOPE8,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS R8
ADILCR2,SAQ 12MOS: ILL/INJURY NEEDING IMMED CARE R2
ADILCR6,SAQ 12MOS: ILL/INJURY NEEDING IMMED CARE R6
ADILWW2,SAQ 12 MOS: GOT CARE WHEN NEEDED ILL/INJ R2
ADILWW6,SAQ 12 MOS: GOT CARE WHEN NEEDED ILL/INJ R6
ADINSA2,SAQ: DO NOT NEED HEALTH INSURANCE R2
ADINSA6,SAQ: DO NOT NEED HEALTH INSURANCE R6
ADINSB2,SAQ: HEALTH INSURANCE NOT WORTH COST R2
ADINSB6,SAQ: HEALTH INSURANCE NOT WORTH COST R6
ADINST2,SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS R2
ADINST6,SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS R6
ADINTR2,SAQ 2 WKS: LITTLE INTEREST IN THINGS R2
ADINTR4,SAQ 2 WKS: LITTLE INTEREST IN THINGS R4
ADINTR6,SAQ 2 WKS: LITTLE INTEREST IN THINGS R6
ADINTR8,SAQ 2 WKS: LITTLE INTEREST IN THINGS R8
ADISOL8,SAQ: FEEL ISOLATED R8
ADKALC4,SAQ 12 MTHS: ASKED ALCOHOL CONSUMPTION R4
ADLANG2,SAQ: LANGUAGE OF SAQ INTERVIEW R2
ADLANG4,SAQ: LANGUAGE OF SAQ INTERVIEW R4
ADLANG6,SAQ: LANGUAGE OF SAQ INTERVIEW R6
ADLANG8,SAQ: LANGUAGE OF SAQ INTERVIEW R8
ADLATERENT8,SAQ: 12 MOS PAY RENT/MORTG LATE R8
ADLATEUTIL8,SAQ: 12 MOS PAY UTILITY LATE R8
ADLEFTOUT8,SAQ: FEEL LEFT OUT R8
ADLHLP1,ADL SCREENER R1
ADLHLP3,ADL SCREENER R3
ADLHLP5,ADL SCREENER R5
ADLHLP7,ADL SCREENER R7
ADLIST2,SAQ 12 MOS: DOCTOR LISTENED TO YOU R2
ADLIST6,SAQ 12 MOS: DOCTOR LISTENED TO YOU R6
ADMDVT4,SAQ: LAST TIME DR VISIT R4
ADMDVT8,SAQ: LAST TIME DR VISIT R8
ADMINSEXER8,SAQ: 30 DAYS MIN PER DAY MOD EXRCS R8
ADMISSCCLN8,SAQ: 12 MOS MISS CARD OR LOAN PYMT R8
ADMMGR4,SAQ 2 YRS: HAD MAMMOGRAM R4
ADMMGR8,SAQ 2 YRS: HAD MAMMOGRAM R8
ADMNTRT4,SAQ 12 MTHS: GET COUNSEL TRTMENT MEDICINE R4
ADMNTRT8,SAQ 12 MTHS: GET COUNSEL TRTMENT MEDICINE R8
ADMOOD4,SAQ 12 MTHS: DR ASK ANXIOUS/DEPRSSED R4
ADMOOD8,SAQ 12 MTHS: DR ASK ANXIOUS/DEPRSSED R8
ADMWCF2,SAQ 4WKS:WORK LIMT B/C MNT PROBS VR-12 R2
ADMWCF4,SAQ 4WKS:WORK LIMT B/C MNT PROBS VR-12 R4
ADMWCF6,SAQ 4WKS:WORK LIMT B/C MNT PROBS VR-12 R6
ADMWCF8,SAQ 4WKS:WORK LIMT B/C MNT PROBS VR-12 R8
ADNERV2,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS R2
ADNERV4,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS R4
ADNERV6,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS R6
ADNERV8,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS R8
ADNOAP4,SAQ: CAN'T TAKE ASPRIN FOR MED REASON R4
ADNOAP8,SAQ: CAN'T TAKE ASPRIN FOR MED REASON R8
ADNSMK2,SAQ 12MOS: DR ADVISED TO QUIT SMOKING R2
ADNSMK6,SAQ 12MOS: DR ADVISED TO QUIT SMOKING R6
ADNUMDRK4,SAQ 12 MTHS: NUMBER DRINKS TYPICAL DAY R4
ADNUMDRK8,SAQ 12 MTHS: NUMBER DRINKS TYPICAL DAY R8
ADOFTALC4,SAQ 12 MTHS: ASKED HOW MUCH OR OFTEN ALCOHOL R4
ADOFTALC8,SAQ 12 MTHS: ASKED HOW MUCH OR OFTEN ALCOHOL R8
ADOFTB4,SAQ 12 MTHS: HOW OFTEN USE TOBACCO R4
ADOFTB8,SAQ 12 MTHS: HOW OFTEN USE TOBACCO R8
